Date,Open,High,Low,Close,Adj Close,Volume
2023-09-10,63.083092,63.083092,60.512524,61.121529,61.121529,249697962
2023-09-11,61.119495,61.563560,58.038231,58.837158,58.837158,316901808
2023-09-12,58.836308,61.192917,58.693039,60.012791,60.012791,285423408
2023-09-13,60.017136,62.590473,59.743076,62.003521,62.003521,300723201
2023-09-14,62.002014,63.320518,62.002014,62.808537,62.808537,268972316
2023-09-15,62.816547,66.152283,62.675568,65.995529,65.995529,273527819
2023-09-16,65.990669,66.701874,64.532097,65.339523,65.339523,225396971
2023-09-17,65.346802,65.382362,63.253460,63.578228,63.578228,238602170
2023-09-18,63.577751,67.357925,63.222713,65.894600,65.894600,411318370
2023-09-19,65.893295,68.262886,65.777000,67.334236,67.334236,310488863
2023-09-20,67.333961,67.613480,63.988403,64.564346,64.564346,407377312
2023-09-21,64.565125,64.967659,63.124760,64.690987,64.690987,270451760
2023-09-22,64.691711,65.460808,64.177536,64.335403,64.335403,278551984
2023-09-23,64.334908,65.225388,64.334908,65.080391,65.080391,240624622
2023-09-24,65.080063,65.084198,63.540279,63.587139,63.587139,189877277
2023-09-25,63.586189,64.990959,63.113136,64.337242,64.337242,216448495
2023-09-26,64.333160,64.918907,63.397556,63.758511,63.758511,256010742
2023-09-27,63.756336,65.419136,63.280056,63.486813,63.486813,212329352
2023-09-28,63.487186,65.410072,63.218338,65.238808,65.238808,235902966
2023-09-29,65.240662,66.399559,64.974792,65.632095,65.632095,215673747
2023-09-30,65.630783,66.523338,65.420502,66.069649,66.069649,153210629
2023-10-01,66.068810,68.591217,65.905350,68.233315,68.233315,248362902
2023-10-02,68.228951,68.331390,65.448631,66.011124,66.011124,283142952
2023-10-03,66.007019,66.836845,65.368187,65.493515,65.493515,188593883
2023-10-04,65.498390,65.509216,63.725567,64.452065,64.452065,220351720
2023-10-05,64.459198,65.196564,64.096916,64.858765,64.858765,202994978
2023-10-06,64.857376,65.906784,64.566528,65.533188,65.533188,178382571
2023-10-07,65.533600,66.229881,65.100388,65.485641,65.485641,146532235
2023-10-08,65.487183,65.968346,65.103546,65.364548,65.364548,179284709
2023-10-09,65.364395,65.376381,62.147030,63.111057,63.111057,235298990
2023-10-10,63.109085,63.793541,62.681705,63.621071,63.621071,164326149
2023-10-11,63.619778,63.685921,61.262772,61.499821,61.499821,186389594
2023-10-12,61.501141,61.521873,60.754681,61.127815,61.127815,171888213
2023-10-13,61.127197,61.995136,61.112534,61.574059,61.574059,203849754
2023-10-14,61.574585,61.949982,61.470036,61.665157,61.665157,120785909
2023-10-15,61.664009,62.101719,61.447323,61.656433,61.656433,134170091
2023-10-16,61.657101,65.364571,61.646015,63.337162,63.337162,334167678
2023-10-17,63.335766,63.335766,61.688175,62.163010,62.163010,191914626
2023-10-18,62.156055,62.601551,60.191654,60.276974,60.276974,188485126
2023-10-19,60.278484,61.812965,60.108330,61.786652,61.786652,182482608
2023-10-20,61.788864,64.175446,61.651020,63.417820,63.417820,251686318
2023-10-21,63.418297,65.255669,63.418297,64.735542,64.735542,198983839
2023-10-22,64.737358,66.057327,63.820606,65.190582,65.190582,283863584
2023-10-23,65.371590,69.535011,65.245911,68.991096,68.991096,471640160
2023-10-24,68.991356,72.381958,67.787247,69.031860,69.031860,547455091
2023-10-25,69.049782,70.322868,67.986588,68.694923,68.694923,369294933
2023-10-26,68.697502,70.428925,67.449448,68.854385,68.854385,385302387
2023-10-27,68.848656,68.848656,66.057655,67.055794,67.055794,308631582
2023-10-28,67.052139,68.294487,67.018555,67.782776,67.782776,287279561
2023-10-29,67.778076,69.221420,67.267944,68.800842,68.800842,232084984
2023-10-30,68.800125,69.703590,67.849525,69.250839,69.250839,270567503
2023-10-31,69.249550,70.356743,68.316826,68.949562,68.949562,334835486
2023-11-01,68.949478,70.345139,66.798882,69.935020,69.935020,377378547
2023-11-02,69.938553,70.679962,68.058701,69.394196,69.394196,350621685
2023-11-03,69.389854,69.565971,67.951309,69.491142,69.491142,234233495
2023-11-04,69.490921,70.625267,68.967598,70.472099,70.472099,194430502
2023-11-05,70.450546,72.216225,70.104073,71.662651,71.662651,337144700
2023-11-06,71.662270,74.926018,71.091972,74.482864,74.482864,307139405
2023-11-07,74.485069,74.510315,71.379761,73.564384,73.564384,345874833
2023-11-08,73.560333,74.262314,72.614494,73.179939,73.179939,279316148
2023-11-09,73.179779,76.103615,70.337265,73.752213,73.752213,563715610
2023-11-10,73.755669,74.940819,71.399673,73.305000,73.305000,391745232
2023-11-11,73.300339,75.864899,71.412216,75.174309,75.174309,409990766
2023-11-12,75.171997,76.638184,72.854874,74.891273,74.891273,400244544
2023-11-13,74.897934,75.930305,71.196030,71.491547,71.491547,391890703
2023-11-14,71.441101,72.502419,68.790596,70.635262,70.635262,378863884
2023-11-15,70.635925,74.251389,70.623520,74.080322,74.080322,335516203
2023-11-16,74.080063,74.301231,70.071388,71.179054,71.179054,343373015
2023-11-17,71.149132,71.627060,68.408035,70.182335,70.182335,406903529
2023-11-18,70.191620,70.276321,67.996239,69.893806,69.893806,243237870
2023-11-19,69.895370,70.669556,68.821861,70.640312,70.640312,226121115
2023-11-20,70.639320,70.959778,69.200745,69.517738,69.517738,271959607
2023-11-21,69.519119,71.643837,65.864296,66.457382,66.457382,427605909
2023-11-22,66.449669,69.052269,66.271072,68.705589,68.705589,275595694
2023-11-23,68.700592,70.593941,68.624847,69.512451,69.512451,307401786
2023-11-24,69.511108,71.632751,69.507187,70.735954,70.735954,307601320
2023-11-25,70.738464,72.083138,70.652245,71.833366,71.833366,237235479
2023-11-26,71.836105,71.846375,69.429031,70.058990,70.058990,257792066
2023-11-27,70.055466,70.459503,68.280457,69.242332,69.242332,261741816
2023-11-28,69.244240,70.164375,68.111427,69.737251,69.737251,340266606
2023-11-29,69.737106,70.417572,69.299042,69.989349,69.989349,241745414
2023-11-30,69.988968,70.108871,69.187241,69.445580,69.445580,238522259
2023-12-01,69.442284,72.139008,69.287735,71.544968,71.544968,342098446
2023-12-02,71.544434,72.677498,71.458717,72.272224,72.272224,252948067
2023-12-03,72.272415,72.713417,71.454407,72.256432,72.256432,260490911
2023-12-04,72.259773,74.971222,72.110649,72.821663,72.821663,579013037
2023-12-05,72.830307,74.294960,71.492302,74.291199,74.291199,409610732
2023-12-06,74.288979,74.644127,72.415291,72.415291,72.415291,415760055
2023-12-07,72.429695,74.440765,72.286278,74.058464,74.058464,380178224
2023-12-08,74.060219,78.563766,73.564705,78.398766,78.398766,518109798
2023-12-09,78.409485,79.432281,76.239120,76.277550,76.277550,646771325
2023-12-10,76.284004,78.705635,76.284004,77.141884,77.141884,373110524
2023-12-11,77.147018,77.461678,71.656647,72.650749,72.650749,562479070
2023-12-12,72.650223,73.620483,71.137817,72.412987,72.412987,327096779
2023-12-13,72.404373,73.931694,70.676971,73.197853,73.197853,409363158
2023-12-14,73.195175,74.016518,71.907013,72.963417,72.963417,390459199
2023-12-15,72.962944,72.979904,70.935616,70.955879,70.955879,289918266
2023-12-16,70.956932,72.460571,70.843300,72.132980,72.132980,239288933
2023-12-17,72.133156,73.491867,70.993378,71.234871,71.234871,296569366
2023-12-18,71.223412,71.455200,68.376556,70.802841,70.802841,331991740
2023-12-19,70.806755,71.574341,69.884979,70.614555,70.614555,268798362
2023-12-20,70.615540,71.857498,69.588707,69.804977,69.804977,388377729
2023-12-21,69.809822,71.042763,69.085365,70.924530,70.924530,337148848
2023-12-22,70.924004,73.761681,70.577110,73.729713,73.729713,361158771
2023-12-23,73.722198,74.003815,71.650833,72.540627,72.540627,300928578
2023-12-24,72.536018,72.917969,70.576263,71.174713,71.174713,325474499
2023-12-25,71.176849,72.721153,70.827148,72.275284,72.275284,272499306
2023-12-26,72.274742,74.283531,71.279106,73.150520,73.150520,464032652
2023-12-27,73.150154,76.862938,72.369438,75.850304,75.850304,534010451
2023-12-28,75.870583,77.433975,74.726974,76.722328,76.722328,561930641
2023-12-29,76.713890,77.712738,73.291084,73.404144,73.404144,516441232
